sample,status,diameter_nm,energy_map,closure,reactive,theta_bri,N_react_umol_g,TOF_s_1,iterations,inventory_residual,charge_residual
R500,INVALID,900,LI_SBR1,LOCAL,ISO_z8,0.50151,0.0259255,145.417,10,-1.4e-14,5.0e-14
R600,VALID,900,LI_SBR1,LOCAL,BRI,0.738259,10.0094,0.391633,9,2.8e-14,1.4e-13
R600,VALID,900,LI_SBR1,LOCAL,ISO_z2,0.738259,0.685726,5.71657,9,2.8e-14,1.4e-13
R600,INVALID,900,LI_SBR1,LOCAL,ISO_z4,0.738259,0.046978,83.4433,9,2.8e-14,1.4e-13
R600,INVALID,900,LI_SBR1,LOCAL,ISO_z8,0.738259,0.000220487,17778.8,9,2.8e-14,1.4e-13
R800,VALID,900,LI_SBR1,LOCAL,BRI,0.859172,11.6487,0.172551,8,-2.8e-14,1.7e-13
R800,VALID,900,LI_SBR1,LOCAL,ISO_z2,0.859172,0.231022,8.70046,8,-2.8e-14,1.7e-13
R800,INVALID,900,LI_SBR1,LOCAL,ISO_z4,0.859172,0.00458173,438.699,8,-2.8e-14,1.7e-13
R800,INVALID,900,LI_SBR1,LOCAL,ISO_z8,0.859172,1.80211e-06,1.11536e+06,8,-2.8e-14,1.7e-13
R1000,VALID,900,LI_SBR1,LOCAL,BRI,0.959152,13.0042,0.00349117,6,-6.2e-11,3.7e-10
R1000,INVALID,900,LI_SBR1,LOCAL,ISO_z2,0.959152,0.0216983,2.09233,6,-6.2e-11,3.7e-10
R1000,INVALID,900,LI_SBR1,LOCAL,ISO_z4,0.959152,3.62048e-05,1253.98,6,-6.2e-11,3.7e-10
R1000,INVALID,900,LI_SBR1,LOCAL,ISO_z8,0.959152,1.00797e-10,4.5041e+08,6,-6.2e-11,3.7e-10
A600,VALID,900,LI_L2,LOCAL,BRI,0.244276,3.31191,0.682386,11,1.6e-14,1.8e-14
A600,VALID,900,LI_L2,LOCAL,ISO_z2,0.244276,1.89149,1.19482,11,1.6e-14,1.8e-14
A600,VALID,900,LI_L2,LOCAL,ISO_z4,0.244276,1.08027,2.09207,11,1.6e-14,1.8e-14
A600,VALID,900,LI_L2,LOCAL,ISO_z8,0.244276,0.352358,6.41393,11,1.6e-14,1.8e-14
R500,VALID,900,LI_L2,LOCAL,BRI,0.491552,6.66449,0.565684,10,3.6e-14,7.8e-14
R500,VALID,900,LI_L2,LOCAL,ISO_z2,0.491552,1.7229,2.18817,10,3.6e-14,7.8e-14
R500,VALID,900,LI_L2,LOCAL,ISO_z4,0.491552,0.445403,8.46424,10,3.6e-14,7.8e-14
R500,INVALID,900,LI_L2,LOCAL,ISO_z8,0.491552,0.0297673,126.649,10,3.6e-14,7.8e-14
R600,VALID,900,LI_L2,LOCAL,BRI,0.731445,9.91697,0.395282,9,-2.8e-14,1.7e-13
R600,VALID,900,LI_L2,LOCAL,ISO_z2,0.731445,0.715232,5.48074,9,-2.8e-14,1.7e-13
R600,INVALID,900,LI_L2,LOCAL,ISO_z4,0.731445,0.0515839,75.9926,9,-2.8e-14,1.7e-13
