sample,energy_map,cutoff_nm,dG_eV,f110,eps,reactive,theta_bri,reconstructed_fraction,N_bridging_umol_g,N_reconstructed_row_umol_g,N_basal_L1_umol_g,N_L1_subbridging_umol_g,N_subsurface_L2_4_umol_g,N_bulk_umol_g,N_react_umol_g,TOF_s_1,site_class,flags,Q_vs_R600,Q_ref_below_threshold
R800,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z2,0.0782537,0.290142,0.425818,1.11155,1.52184e-06,0.583431,0.106148,190.873,0.361786,5.55578,OK,,0.588543,
R800,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z4,0.0782537,0.290142,0.425818,1.11155,1.52184e-06,0.583431,0.106148,190.873,0.307382,6.53909,OK,,0.598352,
R800,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z8,0.0782537,0.290142,0.425818,1.11155,1.52184e-06,0.583431,0.106148,190.873,0.221887,9.05865,OK,,0.618465,
R800,PAB,0.28,-0.4,0.75,64 (a_axis),BRI+BASAL,0.0782537,0.290142,0.425818,1.11155,1.52184e-06,0.583431,0.106148,190.873,0.42582,4.72031,OK,,0.578892,
R1000,PAB,0.28,-0.4,0.75,64 (a_axis),BRI,0.0750966,0.732502,0.153994,2.80715,5.79834e-06,1.40525,0.434786,776.399,0.153994,0.294818,OK,YUAN_STRONG_REDUCTION,0.036156,
R1000,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z2,0.0750966,0.732502,0.153994,2.80715,5.79834e-06,1.40525,0.434786,776.399,0.131734,0.344635,OK,YUAN_STRONG_REDUCTION,0.0365084,
R1000,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z4,0.0750966,0.732502,0.153994,2.80715,5.79834e-06,1.40525,0.434786,776.399,0.112691,0.402871,OK,YUAN_STRONG_REDUCTION,0.0368643,
R1000,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z8,0.0750966,0.732502,0.153994,2.80715,5.79834e-06,1.40525,0.434786,776.399,0.0824666,0.550526,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0375863,
R1000,PAB,0.28,-0.4,0.75,64 (a_axis),BRI+BASAL,0.0750966,0.732502,0.153994,2.80715,5.79834e-06,1.40525,0.434786,776.399,0.153999,0.294806,OK,YUAN_STRONG_REDUCTION,0.0361546,
R1100,PAB,0.28,-0.4,0.75,64 (a_axis),BRI,0.0762783,0.870699,0.0756067,3.33686,9.13963e-06,1.81329,0.756735,1337.02,0.0756067,0.321797,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0394647,
R1100,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z2,0.0762783,0.870699,0.0756067,3.33686,9.13963e-06,1.81329,0.756735,1337.02,0.0645125,0.377136,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0399513,
R1100,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z4,0.0762783,0.870699,0.0756067,3.33686,9.13963e-06,1.81329,0.756735,1337.02,0.0550462,0.441993,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0404441,
R1100,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z8,0.0762783,0.870699,0.0756067,3.33686,9.13963e-06,1.81329,0.756735,1337.02,0.0400768,0.607084,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0414477,
R1100,PAB,0.28,-0.4,0.75,64 (a_axis),BRI+BASAL,0.0762783,0.870699,0.0756067,3.33686,9.13963e-06,1.81329,0.756735,1337.02,0.0756159,0.321758,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0394599,
A600,PAB,0.28,-0.4,0.75,107 (c_axis),BRI,0.0532975,0.00287709,0.407166,0.0110035,2.89111e-07,0.106215,0.00470826,12.9209,0.407166,5.55057,OK,,0.944045,
A600,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z2,0.0532975,0.00287709,0.407166,0.0110035,2.89111e-07,0.106215,0.00470826,12.9209,0.364939,6.19282,OK,,0.853866,
A600,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z4,0.0532975,0.00287709,0.407166,0.0110035,2.89111e-07,0.106215,0.00470826,12.9209,0.327091,6.90939,OK,,0.772302,
A600,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z8,0.0532975,0.00287709,0.407166,0.0110035,2.89111e-07,0.106215,0.00470826,12.9209,0.262764,8.60086,OK,,0.631803,
A600,PAB,0.28,-0.4,0.75,107 (c_axis),BRI+BASAL,0.0532975,0.00287709,0.407166,0.0110035,2.89111e-07,0.106215,0.00470826,12.9209,0.407166,5.55056,OK,,0.944045,
R500,PAB,0.28,-0.4,0.75,107 (c_axis),BRI,0.0749505,0.0232353,0.561019,0.088952,4.76133e-07,0.18781,0.012649,35.9996,0.561019,6.71991,OK,,1.14293,
R500,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z2,0.0749505,0.0232353,0.561019,0.088952,4.76133e-07,0.18781,0.012649,35.9996,0.480092,7.85266,OK,,1.08273,
R500,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z4,0.0749505,0.0232353,0.561019,0.088952,4.76133e-07,0.18781,0.012649,35.9996,0.410839,9.17634,OK,,1.02569,
R500,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z8,0.0749505,0.0232353,0.561019,0.088952,4.76133e-07,0.18781,0.012649,35.9996,0.300861,12.5307,OK,,0.920482,
R500,PAB,0.28,-0.4,0.75,107 (c_axis),BRI+BASAL,0.0749505,0.0232353,0.561019,0.088952,4.76133e-07,0.18781,0.012649,35.9996,0.56102,6.71991,OK,,1.14293,
R600,PAB,0.28,-0.4,0.75,107 (c_axis),BRI,0.0996435,0.126995,0.666717,0.486364,8.7108e-07,0.352538,0.0340644,92.4603,0.666717,5.87956,OK,,1,
R600,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z2,0.0996435,0.126995,0.666717,0.486364,8.7108e-07,0.352538,0.0340644,92.4603,0.54049,7.25268,OK,,1,
R600,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z4,0.0996435,0.126995,0.666717,0.486364,8.7108e-07,0.352538,0.0340644,92.4603,0.438161,8.94649,OK,,1,
R600,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z8,0.0996435,0.126995,0.666717,0.486364,8.7108e-07,0.352538,0.0340644,92.4603,0.287955,13.6132,OK,,1,
R600,PAB,0.28,-0.4,0.75,107 (c_axis),BRI+BASAL,0.0996435,0.126995,0.666717,0.486364,8.7108e-07,0.352538,0.0340644,92.4603,0.666718,5.87955,OK,,1,
